parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,20.0,31.4
Radikale Venstre,Radikale Venstre,4.4,
Det Konservative Folkeparti,Det Konservative Folkeparti,4.4,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,4.4,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,0.0,
LA,Liberal Alliance,4.4,8.7
M,Moderaterne,8.9,7.2
DF,Dansk Folkeparti,7.8,2.6
UP,Udenfor parti,0.0,0.1
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",5.6,
ALT,Alternativet,12.2,3.3
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,8.9,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,18.9,
